,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
248,Samsung,24999,5,128,8,4,1500  altı,5,Galaxy A73,1,5,1,7,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Yeşil
249,ZTE,4250,5,128,4,4,1500  altı,4.5,,1,15,3,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Siyah
250,vivo,4365,5,64,4,4,1500  altı,4,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
251,Tecno,6050,20,128,6,6,3000 - 7900,4.5,Pova Neo2,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,7000,Turuncu
252,Reeder,4149,5,256,6,4,1500  altı,4.5,S19 Max Pro,1,40,3,6,Android,Var,2,USB Type-C,40,Yok,3.5 mm,5000,Mavi
253,vivo,7200,20,128,6,6,3000 - 7900,4.5,Vivo Y22s,1,40,3,6,Android,Var,2,USB Type-C,40,Yok,3.5 mm,5000,Yeşil
254,Xiaomi,47499,20,256,12,6,4000 - 5000,5,,1,40,2,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4500,Siyah
255,TCL,5190,5,128,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Çok Renkli
256,Samsung,6197,5,128,4,4,1500  altı,4.5,Galaxy A04s,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Pembe
257,Xiaomi,4940,10,64,4,6,6000,4.5,Redmi 10C,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Gri
258,Xiaomi,18295,20,256,12,6,4000 - 5000,5,,1,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Siyah
259,Samsung,29699,50,256,8,6,3900,5,Galaxy S23,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,5000,Yeşil
260,Xiaomi,7299,5,128,8,4,900-3000,5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Yeşil
261,Apple,64299,48,128,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Altın
262,Apple,57399,48,128,6,6,3200,5,iPhone 14 Pro,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Altın
263,Samsung,10500,5,128,6,4,1500  altı,5,Galaxy A33,1,15,1,7,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Siyah
264,Apple,40999,12,256,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Mavi
265,General Mobile,4331,5,64,6,6,5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
266,vivo,9249,5,256,8,4,1500  altı,4.5,Vivo Y35,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
267,Apple,22790,5,64,4,6,1800 - 2800,5,iPhone SE,1,5,1,4,iOS,Var,2,Lightning,5,Var,Lightning,2000,Siyah
