,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
543,Samsung,13700,64,128,8,6,5000,5,Galaxy A53,1,20,4,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Mavi
544,vivo,5299,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Mavi
545,INFINIX,9549,64,256,8,6,5000,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Altın
546,Samsung,6449,20,64,4,6,4000 - 5000,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
547,Xiaomi,15699,20,256,8,6,4000 - 5000,5,Redmi Note 11 Pro,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,4500,Gri
548,Xiaomi,7799,5,128,6,4,900-3000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,5000,Mavi
549,Casper,6089,5,128,4,4,1500  altı,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Beyaz
550,Samsung,46499,10,512,8,6,3000 - 7900,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,4500,Krem
551,Samsung,35999,5,128,8,4,1500  altı,4.5,Galaxy Z Flip4,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Pembe
552,realme,24999,5,256,12,4,1500  altı,5,,2,40,2,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4500,Yeşil
553,Xiaomi,6159,5,128,4,4,1500  altı,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Sarı
554,General Mobile,8041,8,128,8,6,3000 - 4000,4,,1,5,1,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Beyaz
555,realme,10050,64,256,8,6,5000,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Çok Renkli
556,General Mobile,4490,15,64,4,6,4000 - 5000,4.5,,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,5000,Yeşil
557,Apple,37999,10,128,4,5,1800 - 2400,5,iPhone 12 Mini,1,10,2,5,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Siyah
558,Samsung,28949,50,128,8,6,3900,5,Galaxy S23,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,5000,Beyaz
559,Apple,49799,10,256,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Kırmızı
560,POCO,,5,64,4,4,1500  altı,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Siyah
561,Alcatel,1309,5,16,1,4,1500  altı,4.5,,1,5,1,5,Android,Var,2,Micro-USB,5,Yok,3.5 mm,1000,Mavi
562,Xiaomi,,5,64,4,4,1500  altı,4,Redmi 10,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Beyaz
563,Samsung,15900,5,256,8,6,3000 - 4000,5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Yeşil
564,Xiaomi,5999,20,64,4,6,4000 - 5000,4.5,Redmi Note 8,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,3500,Mor
565,Xiaomi,11999,15,256,8,6,4000 - 5000,4.5,Redmı Note 12s,1,15,3,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,4500,Mavi
566,Samsung,6150,10,32,4,6,4000 - 5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Siyah
567,vivo,3799,5,32,3,4,1500  altı,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Yeşil
568,Samsung,33549,10,256,12,6,4000 - 5000,5,,2,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,4000,Yeşil
569,INFINIX,7299,20,256,8,6,5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Siyah
570,Tecno,8890,20,128,8,4,1500  altı,4.5,,1,20,2,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,5000,Mavi
571,Samsung,41999,10,256,8,6,4000 - 5000,4.5,Galaxy S22 Ultra,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Beyaz
572,Samsung,12999,48,128,8,6,5000,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Gümüş
573,INFINIX,4419,20,128,Yok,6,900-3000,4,,Yok,,Yok,6,Android,Yok,2,USB Type-C,,Yok,USB Type-C,5000,Siyah
574,Xiaomi,11179,10,128,8,6,5000,4.5,Redmi Note 11 Pro,1,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,5000,Gri
575,POCO,12849,5,256,6,4,1500  altı,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Siyah
576,Hiking,7399,20,128,6,6,4000 - 5000,4.5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Siyah
577,ULEFONE,35000,108,256,12,6,7900 - 11500,5,,2,15,4,5,Android,Var,2,USB Type-C,15,Var,3.5 mm,8000,Siyah
578,Samsung,18250,20,128,6,6,5000,4.5,Galaxy M31s,1,20,4,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,5000,Mavi
579,Apple,40999,12,256,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Yeşil
580,vivo,9279,50,128,8,6,5020,4,,1,15,3,6,Android,Yok,2,USB Type-C,15,Var,USB Type-C,4500,Siyah
581,Xiaomi,5999,10,64,4,6,3000 - 4000,4.5,Redmi Note 8,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,3500,Mavi
582,Apple,,10,128,4,5,1800 - 2400,5,iPhone 12 Mini,1,10,2,5,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Kırmızı
583,vivo,3529,5,32,3,4,1500  altı,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Mavi
584,Samsung,12000,5,128,6,4,1500  altı,4.5,,1,20,1,7,Android,Var,2,USB Type-C,20,Var,3.5 mm,5000,Siyah
585,Casper,3899,8,64,3,6,5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
586,POCO,15498,20,256,8,6,5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Siyah
587,Tecno,8999,5,128,8,4,6000,4.5,,1,5,3,4,Android,Var,2,USB Type-C,5,Var,3.5 mm,1000,Gri
588,Tecno,7399,5,128,6,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,6000,Gri
589,Apple,48198,12,256,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Mor
590,Xiaomi,4460,10,64,2,6,4000 - 5000,4.5,Redmi 9C,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Turuncu
591,POCO,12998,20,256,8,6,3000 - 7900,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Sarı
592,Apple,71999,5,1 TB,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Mavi
593,Apple,52298,10,256,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Beyaz
594,Apple,52498,10,256,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Siyah
595,Hiking,7399,20,128,6,6,4000 - 5000,4.5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Mavi
596,Reeder,2867,5,128,2,4,1500  altı,4,Reeder S19 Max,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Mavi
597,Apple,44398,12,128,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Kırmızı
598,Xiaomi,13999,5,256,8,6,3000 - 4000,4,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Mavi
599,Apple,34050,10,64,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Siyah
600,Xiaomi,11649,5,128,6,4,1500  altı,5,Redmi Note 11 Pro,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
601,Dijitsu,3400,15,64,4,6,5000,5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Gri
602,Apple,25500,10,64,3,6,2400 - 3000,4.5,iPhone XR,1,5,1,5,iOS,Yok,2,Lightning,5,Var,Lightning,2000,Kırmızı
603,vivo,13999,5,256,8,4,1500  altı,5,,1,40,2,6,Android,Yok,2,USB Type-C,40,Var,USB Type-C,4500,Siyah
604,Samsung,5699,5,64,4,4,1500  altı,4.5,Galaxy A04s,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Metalik
605,POCO,20999,5,256,12,6,3000 - 4000,4,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
606,,3855,5,128,4,6,5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
607,POCO,13999,20,128,6,6,4000 - 5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,4500,Gümüş
608,Xiaomi,3925,10,32,2,6,4000 - 5000,4.5,Redmi 9C,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Gri
609,INFINIX,6800,20,128,8,6,5000,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Siyah
610,Apple,82989,48,1 TB,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Gümüş
611,Xiaomi,10999,15,256,8,6,4000 - 5000,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,4500,Çok Renkli
612,Apple,,48,256,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Altın
613,Apple,25850,12,64,4,6,3110,4.5,iPhone 11,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Kırmızı
614,Trident,4799,5,128,8,4,1500  altı,4,,1,20,3,6,Android,Var,2,USB Type-C,20,Yok,3.5 mm,4000,Siyah
615,omix,8599,5,256,16,4,1500  altı,4.5,,1,5,4,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,5000,Beyaz
616,Apple,,5,1 TB,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Gri
617,omix,4450,5,64,8,4,1500  altı,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
618,realme,15500,20,128,8,6,5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Yeşil
619,INFINIX,5248,5,128,6,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Beyaz
620,realme,9182,20,128,8,6,5000,4,,1,15,1,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Beyaz
621,Trident,8099,48,128,6,6,4500,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4000,Mavi
622,Tecno,5329,5,128,6,4,1500  altı,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,5000,Çok Renkli
623,Xiaomi,6999,20,64,6,6,5000,4.5,Xiaomi Redmi Note 9s,1,15,4,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,4500,Mavi
624,Samsung,6930,20,128,4,7,1500  altı,4.5,Galaxy M13,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Mavi
625,Samsung,5730,5,128,8,4,1500  altı,4.5,,1,20,4,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,5000,Siyah
626,Xiaomi,10499,5,128,8,4,1500  altı,4,Note 10 Pro,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Gri
627,Apple,82989,48,1 TB,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Altın
628,Tecno,6142,5,128,6,4,1500  altı,4.5,,1,20,2,6,Android,Yok,2,USB Type-C,20,Var,3.5 mm,4500,Mavi
629,Samsung,7250,5,128,4,4,1500  altı,4.5,,1,40,3,6,Android,Var,2,USB Type-C,40,Var,3.5 mm,4500,Siyah
630,omix,10999,5,256,16,4,1500  altı,4.5,,1,5,4,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,5000,Beyaz
631,POCO,28999,64,256,12,6,5160,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Beyaz
632,Apple,42624,12,512,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Beyaz
633,Xiaomi,7099,20,64,6,6,3000 - 7900,4.5,,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,4500,Mavi
634,omix,4899,5,128,4,6,2800,4.5,,1,5,2,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Beyaz
635,Samsung,12389,20,128,8,6,4000 - 5000,4.5,Galaxy S20,1,20,1,7,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Mavi
636,Xiaomi,4999,10,64,3,6,5000,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,5000,Turuncu
637,Samsung,31899,5,256,8,4,1500  altı,4.5,,1,10,1,7,Android,Var,2,USB Type-C,10,Var,3.5 mm,4500,Yeşil
638,Samsung,5693,5,64,4,4,1500  altı,4.5,Galaxy A04s,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Beyaz
639,realme,15499,20,256,12,6,4000 - 5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,4500,Beyaz
640,Samsung,46499,10,512,8,6,3000 - 7900,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,4500,Yeşil
641,Reeder,7100,15,128,8,7,20000  üzeri,5,,1,15,2,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,4000,Mavi
642,omix,4799,20,64,8,6,5000,4.5,,1,10,2,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,4500,Gri
643,Apple,39499,10,256,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Mor
644,Xiaomi,23980,5,256,8,6,1500  altı,4.5,Xiaomi 11T Pro,1,10,4,6,Android,Yok,2,USB Type-C,10,Yok,3.5 mm,5000,Mavi
645,General Mobile,5699,20,128,4,6,5000,4.5,Gm 23 Dual,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Gri
646,Xiaomi,16200,20,256,8,4,1500  altı,5,Xiaomi Mi 12 Lite,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4000,Pembe
647,vivo,9800,5,64,4,4,5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Yeşil
648,Samsung,3999,10,32,3,5,2400 - 3000,4.5,Galaxy A6,1,15,1,5,Android,Var,2,Micro-USB,15,Yok,3.5 mm,2000,Siyah
649,Samsung,1999,5,8,1,6,1800 - 2800,4.5,,1,5,1,4,Android,Var,2,Micro-USB,5,Yok,3.5 mm,2000,Beyaz
650,Xiaomi,7999,48,128,8,6,4000 - 5000,5,,1,10,3,6,Android,Var,2,USB Type-C,10,Yok,Lightning,5000,Mavi
651,Xiaomi,7799,20,128,6,6,4000 - 5000,4.5,Redmi Note 8 Pro,1,20,4,6,Android,Var,2,USB Type-C,20,Yok,3.5 mm,4000,Siyah
652,Samsung,5450,5,128,4,4,1500  altı,4.5,,1,20,2,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,4000,Mavi
653,Oppo,6250,10,64,4,6,3000 - 4000,4.5,,1,5,3,6,Android,Yok,2,Micro-USB,5,Yok,3.5 mm,4000,Siyah
654,Apple,48199,12,256,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Siyah
655,POCO,13129,20,256,8,6,3000 - 7900,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Siyah
656,Samsung,46499,10,512,8,6,3000 - 7900,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,4500,Mor
657,Apple,39999,5,128,4,5,3000 - 4000,5,iPhone 13 Mini,1,15,2,5,iOS,Var,2,Lightning,15,Var,Lightning,2000,Mavi
658,Samsung,,20,128,4,6,4000 - 5000,5,,1,10,3,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,5000,Mavi
659,POCO,,5,256,8,4,1500  altı,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Gümüş
660,Apple,47600,10,128,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Sarı
661,POCO,7692,5,128,6,4,1500  altı,4,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,5000,Siyah
662,Reeder,2271,5,32,2,4,1500  altı,4,Reeder S19 Max,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Lacivert
663,,10673,5,32,2,4,1500  altı,2,,Yok,,Yok,4,Android,Yok,2,Micro-USB,,Yok,3.5 mm,800,Mavi
664,Xiaomi,28999,5,256,8,4,1500  altı,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,4500,Mavi
665,Tecno,8699,12,8,16 MB RAM,7,5020,4,,1,120,2,4,Android,Yok,2,USB Type-C,120,Yok,3.5 mm,2000,Siyah
666,Xiaomi,12650,15,256,8,6,5000,4.5,Redmi Note 12 Pro,1,15,4,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Gri
667,Xiaomi,7999,20,128,6,6,4000 - 5000,4.5,Xiaomi Note 8 Pro,1,15,4,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Siyah
668,realme,4199,10,64,4,6,5000,4.5,,1,10,4,6,Android,Var,2,Micro-USB,10,Yok,3.5 mm,5000,Mavi
669,Samsung,64999,20,512,12,7,3000 - 7900,5,,2,5,3,7,Android,Var,2,USB Type-C,5,Var,USB Type-C,4000,Siyah
670,INFINIX,5589,20,128,8,6,5000,4.5,,1,5,2,6,Android,Yok,2,USB Type-C,5,Var,3.5 mm,5000,Mavi
671,Apple,71879,48,256,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Siyah
672,TCL,,5,128,4,4,1500  altı,4.5,,1,10,3,6,Android,Var,2,USB Type-C,10,Var,3.5 mm,5000,Mavi
673,omix,5449,20,128,4,6,4000 - 5000,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Mavi
674,Xiaomi,,20,256,8,6,5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Çok Renkli
675,Samsung,11206,20,128,6,6,4000 - 5000,5,,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
676,realme,4999,5,128,4,6,1500  altı,4.5,,10+,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,5000,Mavi
677,Samsung,15999,5,256,8,6,3000 - 4000,5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
678,omix,4679,20,64,4,6,5000,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Yok,Lightning,5000,Beyaz
679,oukitel,5094,5,128,8,4,900-3000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4000,Yeşil
680,POCO,15498,20,256,8,6,5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
681,Apple,67999,48,512,6,6,3200,5,iPhone 14 Pro,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Siyah
682,Apple,40999,5,256,4,5,3000 - 4000,5,iPhone 13 Mini,1,15,2,5,iOS,Var,2,Lightning,15,Var,Lightning,2000,Siyah
683,Apple,67999,48,512,6,6,3200,5,iPhone 14 Pro,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Mor
684,Samsung,5682,5,64,4,4,1500  altı,4.5,Galaxy A04s,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Siyah
685,General Mobile,5888,5,64,4,6,3000 - 4000,4.5,,1,5,1,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,4500,Siyah
686,Apple,33290,10,64,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Kırmızı
687,Xiaomi,,20,256,8,6,5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Çok Renkli
688,Apple,67999,5,256,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Altın
689,omix,4791,20,64,4,6,4000 - 5000,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Mavi
690,Oppo,4935,5,32,4,4,1500  altı,4.5,Oppo A16,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
691,ZTE,4448,20,128,4,6,3000 - 7900,4,,1,15,4,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,4500,Siyah
692,Samsung,11800,48,128,8,6,5000,5,Galaxy A34,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Yeşil
693,Samsung,,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Beyaz
694,Apple,66150,5,512,8,6,4000 - 5000,5,iPhone 13 Pro,1,5,3,6,iOS,Yok,2,Lightning,5,Var,Lightning,4000,Gümüş
695,,,20,64,4,6,3000 - 7900,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,6000,Siyah
696,Samsung,14999,50,256,8,6,5000,5,,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Yeşil
697,omix,4299,5,64,3,4,1500  altı,4.5,,Yok,15,3,5,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Siyah
698,Xiaomi,4090,10,32,2,6,4000 - 5000,4.5,Redmi 9C,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Mavi
699,Xiaomi,6899,5,128,4,4,900-3000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,6000,Mavi
700,INFINIX,4439,10,128,4,6,5000,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Mavi
701,,4899,20,128,6,6,4000 - 5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Siyah
702,Samsung,64699,20,256,12,7,3000 - 7900,5,,2,5,3,7,Android,Var,2,USB Type-C,5,Var,USB Type-C,4000,Mavi
703,Apple,75999,48,512,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Gümüş
704,INFINIX,7450,20,128,8,6,5000,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Mavi
705,Xiaomi,5098,10,64,4,6,6000,4.5,Redmi 10C,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Mavi
706,Reeder,2549,5,64,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Siyah
707,INFINIX,5599,20,128,8,6,5000,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,5000,Mavi
708,Casper,4645,20,128,4,6,5000,4,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
709,,41202,10,16,2,4,5000,4,,1,10,1,5,Android,Yok,2,USB Type-C,10,Var,3.5 mm,7000,Siyah
710,INFINIX,8200,48,128,8,6,5020,4.5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Yok,3.5 mm,5000,Gümüş
711,Apple,59998,10,512,6,6,4000 - 5000,5,iPhone 14 Plus,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Beyaz
712,,24000,13,8,16 MB RAM,4,2800,4.5,,1,10,1,4,Android,Yok,2,USB Type-C,10,Yok,3.5 mm,2000,Beyaz
713,Samsung,8799,5,128,6,4,1500  altı,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Çok Renkli
714,Samsung,,5,Yok,1,4,1500  altı,4.5,,1,,1,4,Android,Yok,2,USB Type-C,,Yok,3.5 mm,800,Siyah
715,Samsung,45999,10,512,12,6,5000,5,,1,10,5,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,3500,Çok Renkli
716,Xiaomi,,20,128,4,6,5000,4,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Çok Renkli
717,Apple,64999,5,256,6,6,3000 - 4000,5,iPhone 13 Pro Max,1,10,3,6,iOS,Yok,2,Lightning,10,Var,Lightning,3500,Yeşil
718,Xiaomi,4500,10,64,2,6,4000 - 5000,4.5,Redmi 9C,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Mavi
719,Samsung,6899,5,128,4,4,1500  altı,4.5,Galaxy A13,1,5,1,7,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
720,Reeder,2737,5,32,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Beyaz
721,INFINIX,4317,10,128,4,6,5000,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Yeşil
722,Samsung,10000,5,32,3,4,900-3000,4.5,,1,5,2,5,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,3000,Mavi
723,Samsung,54999,5,512,12,6,3000 - 4000,5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Yeşil
724,Apple,44598,12,512,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Mavi
725,Tecno,4999,5,128,4,4,1500  altı,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Turkuaz
726,TCL,5199,20,128,4,6,5000,4,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Gri
727,Apple,40684,10,256,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Beyaz
728,Hiking,,5,Yok,1,4,1500  altı,4.5,,1,,1,4,Android,Yok,2,USB Type-C,,Yok,3.5 mm,800,Mor
